name,smiles,compound_class,literature_source,prediction,probability_protective,probability_toxic,confidence,in_domain,max_similarity,nearest_compound,in_training_set,mw,logp
Precocene I,COc1cc2OC(C)(C)C=Cc2cc1,Chromene,Kotta et al. 2020; Okunade 2002,Nephroprotective,0.9792597889900208,0.02074020355939865,0.9792597889900208,False,0.2857,Paeonol,False,190.24200000000002,2.8794000000000013
Precocene II,COc1cc2OC(C)(C)C=Cc2c(OC)c1,Chromene,Kotta et al. 2020; Okunade 2002,Nephroprotective,0.9879431128501892,0.012056886218488216,0.9879431128501892,False,0.2222,Pterostilbene,False,220.268,2.8880000000000017
Ageratochromene,COc1cc2OC(C)(C)C=Cc2cc1OC,Chromene,Okunade 2002,Nephroprotective,0.9918090105056763,0.008190993219614029,0.9918090105056763,False,0.2157,Schisandrin,False,220.268,2.8880000000000017
6-Demethylageratochromene,COc1cc2OC(C)(C)C=Cc2cc1O,Chromene,Okunade 2002,Nephroprotective,0.9960513114929199,0.003948664758354425,0.9960513114929199,True,0.3261,Scopoletin,False,206.241,2.5850000000000013
Sinensetin,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1OC,Flavonoid,Kotta et al. 2020,Nephroprotective,0.897699236869812,0.10230076313018799,0.897699236869812,True,0.7143,Nobiletin,False,372.3730000000001,3.503000000000003
Nobiletin,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC,Flavonoid,Kotta et al. 2020,Nephroprotective,0.9868059754371643,0.013194020837545395,0.9868059754371643,True,1.0,Nobiletin,True,402.39900000000017,3.5116000000000023
5'-Methoxynobiletin,COc1cc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc(OC)c1OC,Flavonoid,Kotta et al. 2020,Nephroprotective,0.9317083358764648,0.06829164922237396,0.9317083358764648,True,0.7692,Nobiletin,False,432.42500000000024,3.5202000000000027
Eupalestin,COc1ccc(-c2cc(=O)c3c(OC)cc(OC)c(OC)c3o2)cc1OC,Flavonoid,Kotta et al. 2020,Nephroprotective,0.8147259950637817,0.18527400493621826,0.8147259950637817,True,0.7805,Nobiletin,False,372.37300000000016,3.503000000000003
Linderoflavone B,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c4c(c3o2)OCO4)cc1OC,Flavonoid,Okunade 2002,Nephroprotective,0.9060290455818176,0.09397097676992416,0.9060290455818176,True,0.7174,Nobiletin,False,386.35600000000017,3.2231000000000014
Kaempferol 3-glucoside,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,Flavonoid,Kotta et al. 2020,Nephroprotective,0.9853288531303406,0.01467111799865961,0.9853288531303406,True,1.0,Astragalin,True,448.3800000000002,-0.24449999999999966
Quercetin 3-rhamnoside,C[C@@H]1OC(Oc2c(-c3ccc(O)c(O)c3)oc4cc(O)cc(O)c4c2=O)[C@H](O)[C@H](O)[C@H]1O,Flavonoid,Kotta et al. 2020,Nephroprotective,0.9693238139152527,0.03067616932094097,0.9693238139152527,True,0.8182,Myricitrin,False,448.38000000000017,0.4886999999999995
Lycopsamine,C[C@@H](O)[C@@](O)(CO)C(=O)OC[C@@H]1CCN2CC=C[C@H]12,Alkaloid,Wiedenfeld & Roder 1991; Okunade 2002,Nephroprotective,0.7613427042961121,0.23865731060504913,0.7613427042961121,False,0.2105,Fexofenadine,False,271.31299999999993,-1.1058999999999983
Echinatine,C[C@@H](O)[C@@](O)(CO)C(=O)OC[C@@H]1CCN2CC=C[C@H]12,Alkaloid,Okunade 2002,Nephroprotective,0.7613427042961121,0.23865731060504913,0.7613427042961121,False,0.2105,Fexofenadine,False,271.31299999999993,-1.1058999999999983
beta-Caryophyllene,C=C1CC/C=C(\C)CC[C@@H]2C[C@H]1C2(C)C,Sesquiterpene,Bosi et al. 2013; Kotta et al. 2020,Nephroprotective,0.9594398140907288,0.040560200810432434,0.9594398140907288,True,0.3396,Parthenolide,False,204.35699999999997,4.7252000000000045
alpha-Humulene,C/C1=C\CC(/C=C/CC(/C)=C\CC1)C,Sesquiterpene,Bosi et al. 2013,Nephroprotective,0.9526312947273254,0.04736869037151337,0.9526312947273254,True,0.3077,Limonene,False,190.32999999999996,4.645300000000004
Germacrene D,C/C1=C\C/C(=C(/C)\CC/C(=C\C1)/C)C(C)C,Sesquiterpene,Bosi et al. 2013,Nephroprotective,0.9589452743530273,0.041054725646972656,0.9589452743530273,False,0.2632,Limonene,False,218.384,5.425500000000005
beta-Elemene,C=C(C)[C@@H]1CC=C(C)CC1C(=C)C,Sesquiterpene,Bosi et al. 2013,Nephroprotective,0.9930710196495056,0.006929001305252314,0.9930710196495056,True,0.4688,Limonene,False,176.30299999999997,4.111100000000004
alpha-Pinene,CC1=CCC2CC1C2(C)C,Monoterpene,Bosi et al. 2013,Nephroprotective,0.9854792356491089,0.014520764350891113,0.9854792356491089,False,0.2115,Paeoniflorin Aglycone,False,136.238,2.9987000000000013
beta-Pinene,C=C1CCC2CC1C2(C)C,Monoterpene,Bosi et al. 2013,Nephroprotective,0.9819026589393616,0.01809736154973507,0.9819026589393616,False,0.1967,Andrographolide,False,136.23799999999997,2.9987000000000013
Limonene,C=C(C)[C@@H]1CC=C(C)CC1,Monoterpene,Bosi et al. 2013,Nephroprotective,0.9896594285964966,0.010340569540858269,0.9896594285964966,True,1.0,Limonene,True,136.23799999999997,3.308900000000002
Linalool,C=CC(C)(O)CCC=C(C)C,Monoterpene,Bosi et al. 2013,Nephroprotective,0.9941241145133972,0.005875863134860992,0.9941241145133972,True,0.7857,Nerolidol,False,154.253,2.6698000000000013
Eugenol,COc1cc(CC=C)ccc1O,Phenylpropanoid,Bosi et al. 2013,Nephroprotective,0.993894100189209,0.006105878856033087,0.993894100189209,True,1.0,Eugenol,True,164.204,2.1293
p-Coumaric acid,OC(=O)/C=C/c1ccc(O)cc1,Phenolic acid,Kotta et al. 2020,Nephroprotective,0.9959794282913208,0.004020558670163155,0.9959794282913208,True,1.0,P Coumaric Acid,True,164.16,1.49
Caffeic acid,OC(=O)/C=C/c1ccc(O)c(O)c1,Phenolic acid,Kotta et al. 2020,Nephroprotective,0.9867742657661438,0.013225709088146687,0.9867742657661438,True,1.0,Caffeic Acid,True,180.159,1.1956
Ferulic acid,COc1cc(/C=C/C(O)=O)ccc1O,Phenolic acid,Kotta et al. 2020,Nephroprotective,0.9848145246505737,0.01518547534942627,0.9848145246505737,True,1.0,Ferulic Acid,True,194.18599999999998,1.4986
Gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,Phenolic acid,Kotta et al. 2020,Nephroprotective,0.9891278743743896,0.01087213959544897,0.9891278743743896,True,1.0,Gallic Acid,True,170.11999999999998,0.5015999999999998
Protocatechuic acid,OC(=O)c1ccc(O)c(O)c1,Phenolic acid,Kotta et al. 2020,Nephroprotective,0.8932453989982605,0.1067545935511589,0.8932453989982605,True,0.5714,Vanillic Acid,False,154.12099999999998,0.7959999999999998
Stigmasterol,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(C)CC=C1[C@H]3CC(C)(C)CCC3=CC[C@@]12C)C(C)C,Steroid,Kotta et al. 2020,Nephroprotective,0.9663766622543335,0.03362331911921501,0.9663766622543335,False,0.275,Ergosterol,False,422.74100000000027,9.386199999999999
beta-Sitosterol,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(C)CC=C1[C@H]3CC(C)(C)CCC3=CC[C@@]12C)C(C)C,Steroid,Kotta et al. 2020,Nephroprotective,0.9030660390853882,0.09693398326635361,0.9030660390853882,False,0.2471,Vitamin D3 Cholecalciferol,False,424.7570000000003,9.610199999999999
Friedelin,CC1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C2C1C,Triterpenoid,Okunade 2002,Nephroprotective,0.9835917353630066,0.016408288851380348,0.9835917353630066,True,0.4265,Madecassoside Aglycone,False,426.7290000000002,8.312900000000008
Coumarin,O=c1ccc2ccccc2o1,Coumarin,Okunade 2002,Nephrotoxic,0.3385632634162903,0.6614367365837097,0.6614367365837097,True,0.5357,Umbelliferone,False,146.14499999999998,1.793
Agerarin,COc1cc2OC(=O)C=Cc2c(OC)c1OC,Coumarin,Okunade 2002,Nephroprotective,0.6423470973968506,0.3576529324054718,0.6423470973968506,True,0.6216,Bergapten,False,236.22299999999996,1.8188
