MolWt,LogP,HBD,HBA,TPSA,RotatableBonds,AromaticRings,HeavyAtomCount,NumRings,FractionCSP3,NumHeteroatoms,MolRefractivity,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,BalabanJ,BertzCT
482.4410000000002,2.3627,5,10,155.14,4,3,35,5,0.24,10,119.4495,182,0,0.2024435763970392,-0.5076785668317747,1.4927333710697448,1303.645299944127
163.198,-0.4945,3,3,66.4,3,0,10,0,0.6,5,39.093500000000006,58,0,0.3265573389762101,-0.4796946683190343,0.0,147.8284895747849
302.23800000000006,1.988,5,7,131.36,1,3,22,3,0.0,7,76.244,112,0,0.23828858164045508,-0.5076781655726544,2.3772579684492388,956.2426827834672
286.23900000000003,2.2824000000000004,4,6,111.13000000000001,1,3,21,3,0.0,6,74.5792,106,0,0.23828856081387115,-0.5079662130041039,2.372496567253774,892.6662849554008
398.4110000000002,3.3785000000000016,2,7,102.29000000000002,9,2,29,2,0.18181818181818182,7,108.56860000000002,152,0,0.16483149561251714,-0.5042543435663183,2.0423356485244843,957.8734075629299
350.27900000000005,0.6934999999999991,6,9,156.91,2,2,25,3,0.1875,9,80.7503,132,0,0.3384211408373504,-0.5076790168444703,1.8217137261975538,822.7344141101219
228.247,2.9738000000000016,3,3,60.69,2,2,17,2,0.0,3,66.80640000000002,86,0,0.1193622198501603,-0.5079662507800027,2.2225089719112674,521.6438223871525
206.332,2.7851000000000017,1,3,37.3,5,0,12,1,0.875,4,54.55780000000003,70,0,0.30283956217951946,-0.48123038977031457,1.90892263435229,143.99328661116544
596.8520000000003,8.905400000000004,2,4,74.6,10,0,44,2,0.4,4,184.95159999999942,236,0,0.18679295059794607,-0.3849164993206585,1.9495721118759153,1341.6981897542705
286.23900000000003,2.2824000000000004,4,6,111.13000000000001,1,3,21,3,0.0,6,74.5792,106,0,0.1965791739188741,-0.5076781658604214,2.2943459565950697,909.9162849554009
270.24,2.576800000000001,3,5,90.9,1,3,20,3,0.0,5,72.91440000000001,100,0,0.19657915449196253,-0.5079662131563947,2.289397285517239,846.5071386809373
290.271,1.5460999999999998,5,6,110.38000000000001,1,2,21,3,0.2,6,72.62300000000002,110,0,0.1573046177140986,-0.5076790312956448,1.9978810165902074,696.8034648427933
596.4940000000003,-2.0755999999999992,10,16,269.42999999999995,6,3,42,5,0.4230769230769231,16,135.601,228,0,0.23863269529637401,-0.5076781655726268,1.4829887547222882,1505.882999972939
392.31900000000013,3.4262000000000024,6,8,147.68,0,4,29,5,0.0,8,101.83729999999998,144,0,0.3439612038132946,-0.5042450023835237,2.1087359337833727,1404.2180182252316
272.25600000000003,2.5099000000000014,3,5,86.99000000000001,1,2,20,3,0.13333333333333333,5,70.19490000000002,102,0,0.1739092052367824,-0.5079666065471226,1.998909699922766,675.40838289424
610.5650000000002,-1.1566,8,15,234.28999999999996,7,2,43,5,0.5357142857142857,15,140.6989,236,0,0.22872782423502241,-0.5069069600242379,1.3039965777101092,1319.3038683813047
170.11999999999998,0.5015999999999998,4,4,97.99000000000001,1,1,12,1,0.0,5,38.39570000000001,64,0,0.33546230746154465,-0.5041437400350505,3.306535412749064,307.56377472599723
194.186,1.4986,2,3,66.76,3,1,14,1,0.1,4,51.328600000000016,74,0,0.3278212028831469,-0.5042543435661512,2.9485073365729093,368.38478965282144
180.159,1.1956,3,3,77.76,2,1,13,1,0.0,4,46.441400000000016,68,0,0.32782120287961375,-0.504259631901577,2.915115080665927,354.63237624992405
332.44000000000005,4.316100000000004,3,3,77.76,2,1,24,3,0.65,4,92.61740000000005,132,0,0.3140816573229235,-0.5040549269764245,2.306026088487995,689.369531016349
164.20399999999998,1.6669,0,2,34.14,1,0,12,1,0.4,2,46.69200000000002,64,0,0.18211595507845385,-0.2896506204038028,3.0118928453875435,292.9604403037665
400.65000000000015,9.484999999999998,0,0,0.0,10,0,30,0,0.26666666666666666,0,139.58999999999995,160,0,-0.03977452372422115,-0.07643716986227933,0.0,839.7143855964827
232.28299999999996,1.8550999999999997,2,2,54.12,4,2,17,2,0.3076923076923077,4,67.23840000000003,90,0,0.21638288980463508,-0.49674296806651436,2.186875917592564,531.1990260144933
125.14899999999997,-1.1670999999999996,2,3,80.39,2,0,7,0,1.0,5,25.469999999999995,44,0,0.2656022407648306,-0.32936934131959306,0.0,125.87033355475131
430.7170000000003,8.840260000000002,1,2,29.46,12,1,31,2,0.7931034482758621,2,134.3908,178,0,0.12652475342115493,-0.507381417920001,1.7382656832927925,705.4238777923209
863.3649999999996,17.853899999999975,0,4,52.6,31,0,63,1,0.559322033898305,4,274.7249999999994,350,0,0.22781801289005618,-0.4894991409982064,2.305932923242137,1844.232906471872
177.294,1.2479,0,3,29.43,5,0,10,0,0.8333333333333334,4,48.06040000000003,58,0,0.058444306748471495,-0.2598714210953924,0.0,147.82680599646991
519.6380000000003,4.346880000000004,0,7,118.37,2,0,38,5,0.6774193548387096,7,137.077,202,0,0.3128425073756422,-0.4685470377068464,1.654178001405762,1283.3047393267902
726.6840000000004,0.7863,9,16,258.42999999999995,9,4,52,6,0.3611111111111111,16,180.4531999999997,278,0,0.22893240253921376,-0.507799235340206,1.2270645718665916,1993.44233979464
194.23000000000002,1.9224,1,3,46.53,4,1,14,1,0.36363636363636365,3,53.66080000000004,76,0,0.16024904865418274,-0.5042546045039152,2.7373630560591797,331.3045707499796
162.27899999999997,1.7553,0,2,17.07,5,0,9,0,0.3333333333333333,3,45.86140000000002,52,0,0.08448244937509304,-0.24762495385409586,0.0,120.22626787690945
